tailid;coordsys;x;y;z
22583;utm33;962890;7930655;
22584;utm33;819889;7862849;
22585;utm33;770258;7848123;
22586;utm33;909781;7742377;
22587;utm33;820978;7677055;
22588;utm33;833272;7846196;
22589;utm33;947243;7917110;
22590;utm33;776572;7810145;
22591;utm33;849901;7905032;
22592;utm33;1010252;7841306;
22593;utm33;897389;7911108;
22594;utm33;877614;7802630;
22595;utm33;618185;7683012;
22596;utm33;702999;7727148;
22597;utm33;640103;7663561;
22598;utm33;1076674;7807011;
22599;utm33;995112;7842002;
22600;utm33;;;
22601;utm33;;;
22602;utm33;557554;7554390;
24184;utm33;360533;7287084;
24187;utm33;326683;7078797;
24188;utm33;315915;7110925;
24189;utm33;260156;6614728;
24192;utm33;-31277;6751513;
24193;utm33;175773;6787564;
25820;utm33;316741;7127459;
25821;utm33;331585;7153591;
25822;utm33;412922;7201770;
25823;utm33;232761;7001703;
25824;utm33;263260;7026329;
25826;utm33;443361;7417705;
25827;utm33;337541;7035861;
25828;utm33;260323;6651246;
25829;utm33;;;
25830;utm33;74666;6977017;
25831;utm33;261752;6998681;
25833;utm33;828;6777208;
25834;utm33;221325;6658982;
25837;utm33;;;
25838;utm33;254489;6596566;
25843;utm33;54631;6456590;
25844;utm33;;;
25845;utm33;;;
25847;utm33;310784;6598203;
25849;utm33;-26608;6779398;
25851;utm33;233124;6637247;
25852;utm33;432315;7149465;
25853;utm33;255869;6784031;
25856;utm33;46621;6464013;
25857;utm33;-31514;6751938;
25858;utm33;618185;7683012;
25859;utm33;179916;6902476;
25863;utm33;161806;6872780;
25865;utm33;776694;7809305;
25867;utm33;7628;6510645;
25868;utm33;257360;6692307;
25870;utm33;;;
25871;utm33;89400;6831987;
25872;utm33;33634;6471595;
25875;utm33;95209;6797040;
25876;utm33;540658;7588901;
25878;utm33;301193;6747996;
25879;utm33;;;
27008;utm33;242691;7052350;
27015;utm33;229777;6633187;
27016;utm33;311439;6569443;
27017;utm33;283260;6611428;
27019;utm33;209327;6762283;
27021;utm33;136520;6496840;
27022;utm33;-30624;6842173;
27025;utm33;255654;6640957;
40567;utm33;270264;7041641;
40582;utm33;652717;7730123;
40583;utm33;1056105;7842085;
40702;utm33;255885;6784291;
40703;utm33;62542;6810653;
40704;utm33;274228;6576576;
40705;utm33;89019;6466401;
40706;utm33;261957;6649713;
40722;utm33;266035;6650879;
25564;utm33;253097;7031182;
25565;utm33;278878;6652959;
25566;utm33;192396;6575530;
25570;utm33;226548;6564135;
25572;utm33;229585;6615923;
25573;utm33;10594;6933069;
25575;utm33;65587;6990093;
25576;utm33;;;
25577;utm33;278571;6578257;
21661;utm33;-41000;6626044;
21663;utm33;30273;6689029;
21664;utm33;17122;6714180;
21665;utm33;11685;6725526;
21666;utm33;44151;6721893;
21667;utm33;57513;6741862;
21668;utm33;-33226;6560461;
21672;utm33;-42447;6702045;
21674;utm33;-50171;6669331;
21675;utm33;-9920;6648868;
21678;utm33;104353;6624351;
21679;utm33;178152;6539133;
21680;utm33;160143;6565961;
21681;utm33;136595;6496705;
21683;utm33;166522;6523270;
21684;utm33;103800;6485579;
21685;utm33;129122;6502794;
21687;utm33;111608;6475668;
21691;utm33;123682;6532769;
21693;utm33;93258;6466832;
21694;utm33;85942;6464735;
21695;utm33;84710;6543656;
21696;utm33;81832;6516199;
21697;utm33;79836;6466442;
21698;utm33;74146;6587535;
40762;utm33;1011577;7921027;
40782;utm33;331564;7153545;
25999;utm33;222335;6609153;
26001;utm33;133835;6738611;
27183;utm33;260220;6650497;
27193;utm33;259491;6650150;
27204;utm33;260369;6649535;
21797;utm33;280951;6911790;
21798;utm33;304690;6783176;
21800;utm33;222365;6839614;
21801;utm33;243602;6797497;
21803;utm33;161672;6872798;
21806;utm33;146523;6879285;
21807;utm33;190029;6874590;
22828;utm33;;;
22829;utm33;125096;6484801;
22830;utm33;87240;6501411;
22831;utm33;111661;6475496;
22832;utm33;166015;6523202;
22833;utm33;147638;6514317;
22834;utm33;74300;6587521;
22835;utm33;145061;6528753;
22836;utm33;123486;6532414;
22837;utm33;136624;6497026;
22838;utm33;136624;6497026;
22839;utm33;104047;6485303;
22840;utm33;84710;6543656;
22841;utm33;66126;6604742;
22842;utm33;17551;6468533;
22843;utm33;88093;6466961;
22844;utm33;56915;6500912;
22845;utm33;12073;6492193;
22846;utm33;;;
22847;utm33;88031;6466360;
22848;utm33;29595;6492449;
22849;utm33;194498;6568025;
22850;utm33;170185;6597690;
22851;utm33;139290;6611174;
22852;utm33;199676;6584232;
22853;utm33;192173;6575689;
22854;utm33;141730;6655243;
22855;utm33;102758;6610726;
22861;utm33;225506;6583974;
22862;utm33;229526;6615077;
22863;utm33;234859;6603789;
22864;utm33;243880;6595003;
22865;utm33;214214;6595518;
22866;utm33;215214;6556937;
22868;utm33;229526;6615077;
22869;utm33;226548;6564135;
22870;utm33;231885;6574220;
22871;utm33;240686;6616616;
22872;utm33;236315;6561508;
34901;utm33;261667;6649376;
21287;utm33;819365;7863799;
21366;utm33;30251;6688065;
21319;utm33;269913;7040767;
21414;utm33;-32149;6665038;
21417;utm33;31394;6752068;
21385;utm33;13789;6847079;
21359;utm33;27810;6896856;
24194;utm33;260515;6740269;
24196;utm33;442256;7560013;
24198;utm33;382435;7288874;
24200;utm33;46808;6801849;
24201;utm33;321952;7198546;
24203;utm33;-15444;6636102;
24209;utm33;154165;6793809;
24216;utm33;617996;7682853;
24220;utm33;557270;7554396;
24221;utm33;-28562;6690136;
24222;utm33;-40826;6625960;
24224;utm33;287640;6673553;
24226;utm33;258985;6650624;
24228;utm33;57548;6741918;
24229;utm33;1010252;7841306;
24231;utm33;-74454;6617869;
24232;utm33;1056314;7841762;
24233;utm33;-1625;6752261;
24238;utm33;189792;6874444;
24239;utm33;326963;6730660;
24240;utm33;503563;7644786;
24242;utm33;217057;6556228;
24243;utm33;236315;6561508;
24244;utm33;104107;6610443;
24245;utm33;293291;6926240;
24246;utm33;581321;7696054;
24248;utm33;653515;7731537;
24255;utm33;370847;7378821;
24259;utm33;133827;7018571;
24268;utm33;402166;7507217;
24270;utm33;625306;7673996;
31001;utm33;278794;6653035;
31002;utm33;266120;6627540;
31003;utm33;192191;6576144;
31004;utm33;283943;6610940;
31006;utm33;727500;7780944;
31007;utm33;146523;6879285;
31008;utm33;78991;6954709;
31009;utm33;582032;7602580;
31010;utm33;151843;7056349;
31011;utm33;203787;7031760;
31012;utm33;373416;7127081;
31013;utm33;76841;6814216;
31014;utm33;-8833;6499836;
31015;utm33;-37933;6565090;
31016;utm33;-46673;6813411;
31017;utm33;79836;6466442;
31018;utm33;516839;7620258;
31019;utm33;283943;6610940;
31020;utm33;292134;6737266;
31021;utm33;-31528;6573647;
31022;utm33;500609;7517901;
31023;utm33;328998;7102636;
31024;utm33;296854;7044096;
31026;utm33;-32183;6665120;
31027;utm33;78991;6954709;
31029;utm33;290227;6832729;
31030;utm33;706573;7704489;
31031;utm33;-13414;6577102;
31032;utm33;83329;6934467;
31033;utm33;65752;6891255;
22489;utm33;259867;6649901;
22438;utm33;259956;6649715;
22482;utm33;259064;6650483;
22483;utm33;260051;6649824;
22470;utm33;259318;6650111;
22474;utm33;260260;6650475;
22478;utm33;260062;6649705;
22528;utm33;268821;6652959;
22564;utm33;;;
22566;utm33;-32007;6733915;
22548;utm33;277644;6656046;
22550;utm33;265643;6747621;
22554;utm33;238794;6578829;
22572;utm33;;;
22575;utm33;581321;7696054;
22578;utm33;1056504;7841801;
22581;utm33;1011530;7921121;
22569;utm33;731868;7751363;
22619;utm33;676456;7768303;
22621;utm33;769353;7774642;
22636;utm33;477825;7611973;
22642;utm33;425472;7269523;
22647;utm33;;;
22651;utm33;540552;7588825;
22632;utm33;376769;7220816;
22667;utm33;317656;7088640;
22670;utm33;317490;7073933;
22677;utm33;338894;7197542;
22681;utm33;328356;7103816;
22685;utm33;599528;7593776;
22662;utm33;575445;7582078;
22664;utm33;288529;7057963;
43403;utm33;268281;6570408;
43404;utm33;292647;6560096;
43405;utm33;254368;6596790;
28307;utm33;265983;7036378;
28308;utm33;-35446;6555323;
28309;utm33;276107;6735705;
43422;utm33;278691;6578370;
28312;utm33;-32123;6734440;
43423;utm33;238935;6579259;
28316;utm33;;;
28318;utm33;;;
28328;utm33;;;
23710;utm33;653481;7731577;
27282;utm33;;;
27285;utm33;255571;6593209;
27299;utm33;-27044;6870083;
44482;utm33;;;
27365;utm33;;;
27367;utm33;76867;6814287;
41322;utm33;-50761;6625625;
27441;utm33;241686;7029378;
20838;utm33;214236;6636903;
35170;utm33;653481;7731577;
44142;utm33;-32215;6734696;
44202;utm33;;;
44282;utm33;;;
27901;utm33;263126;6649945;
27935;utm33;136468;6500071;
27937;utm33;263340;6649141;
27939;utm33;191996;6572405;
27940;utm33;135370;6498881;
27941;utm33;88989;6466391;
27949;utm33;87744;6466583;
24185;utm33;145215;6528516;
24511;utm33;61212;6475163;
24909;utm33;198852;6623698;
28061;utm33;266209;6650620;
28062;utm33;226389;6633847;
28063;utm33;877522;7802652;
28065;utm33;170674;6965797;
26002;utm33;234820;6603941;
26003;utm33;311257;6973573;
24755;utm33;-12073;6841091;
24756;utm33;-43533;6732676;
24758;utm33;302909;7159259;
24759;utm33;11941;6491833;
24761;utm33;-27077;6869990;
24762;utm33;195402;6712176;
24763;utm33;239350;6899123;
24766;utm33;268254;6570865;
24768;utm33;254237;6622371;
24769;utm33;129122;6502794;
24770;utm33;288758;7058143;
24773;utm33;209370;6762304;
24774;utm33;582068;7602553;
24775;utm33;82257;6516478;
24777;utm33;195376;7081647;
24778;utm33;260750;6649711;
21444;utm33;265066;6748562;
21449;utm33;136674;6497287;
21424;utm33;12185;6491950;
21459;utm33;776768;7809439;
21434;utm33;947058;7917110;
21468;utm33;442525;7559596;
21471;utm33;503549;7644866;
21477;utm33;613980;7642993;
21521;utm33;443338;7417877;
21523;utm33;517036;7442797;
21526;utm33;599475;7593250;
21565;utm33;326762;7078582;
21534;utm33;344698;7221648;
21503;utm33;339184;7198065;
21506;utm33;376795;7320645;
21509;utm33;417566;7303248;
21514;utm33;367953;7245968;
21558;utm33;318100;7088130;
21567;utm33;170846;6965585;
21536;utm33;283102;7137877;
21541;utm33;290557;7038374;
21545;utm33;227418;6951690;
21548;utm33;249723;7060387;
21552;utm33;236416;7072997;
24253;utm33;271402;7042359;
24269;utm33;481874;7568866;
24296;utm33;76729;6461995;
24304;utm33;1076738;7806969;
24284;utm33;-47787;6722715;
24288;utm33;182280;6998344;
24362;utm33;235028;6603516;
24387;utm33;-8245;6729186;
24389;utm33;10845;6932918;
24397;utm33;819815;7862812;
24366;utm33;-50716;6626564;
24384;utm33;613975;7643152;
24414;utm33;236917;6679527;
24476;utm33;221462;6840391;
24481;utm33;732203;7751378;
24496;utm33;-27400;6870118;
24521;utm33;216342;6650369;
24527;utm33;850000;7904947;
24499;utm33;177166;6729346;
24471;utm33;146610;6979703;
24504;utm33;95209;6797040;
24510;utm33;310786;6598204;
23825;utm33;243820;6595070;
23829;utm33;238366;6580022;
23838;utm33;62542;6810653;
23818;utm33;229908;6632621;
23822;utm33;238240;6580061;
31034;utm33;46222;6954402;
31035;utm33;5388;6626677;
31036;utm33;-43370;6732439;
31038;utm33;182369;6998215;
31039;utm33;-36393;6646851;
31040;utm33;241030;6617175;
31041;utm33;65606;6946240;
31042;utm33;79836;6466442;
31043;utm33;367953;7245968;
31044;utm33;246407;6738302;
31045;utm33;203730;6755329;
31046;utm33;517205;7460381;
31047;utm33;222365;6839614;
31048;utm33;316459;6684254;
31049;utm33;618307;7682803;
31050;utm33;290845;6655753;
31051;utm33;1076520;7807140;
31052;utm33;995046;7841906;
31053;utm33;-40031;6548328;
31054;utm33;155267;6994029;
31055;utm33;141490;6655253;
31056;utm33;582032;7602580;
31057;utm33;236369;6561463;
31058;utm33;103849;6610416;
26771;utm33;262557;6650663;
26776;utm33;75963;6814142;
26777;utm33;-30146;6668974;
26778;utm33;36257;6922658;
26779;utm33;-32675;6737859;
33324;utm33;;;
33325;utm33;;;
33326;utm33;;;
33327;utm33;;;
33328;utm33;;;
33329;utm33;;;
33330;utm33;;;
26798;utm33;261931;6649418;
33331;utm33;;;
26173;utm33;191727;6576864;
26174;utm33;653350;7731850;
30826;utm33;273670;7026797;
38722;utm33;;;
26178;utm33;196557;6645180;
26179;utm33;-27152;6870084;
26180;utm33;195583;6712003;
26183;utm33;262218;6648762;
26184;utm33;239305;6899096;
26185;utm33;265617;6627092;
26187;utm33;88093;6466961;
42444;utm33;194022;6567400;
42445;utm33;191381;6574068;
42446;utm33;86541;6467317;
42447;utm33;815563;7783889;
26193;utm33;472927;7462783;
26195;utm33;265540;6747678;
26196;utm33;270803;7042953;
23712;utm33;328998;7102636;
23713;utm33;328998;7102636;
42285;utm33;261768;6652049;
42286;utm33;515613;8682764;
42287;utm33;654444;7735410;
40102;utm33;627514;7594540;
42302;utm33;268596;6570256;
23724;utm33;417429;7302750;
42662;utm33;256101;6597907;
42663;utm33;215672;6556265;
23729;utm33;634684;7642715;
44483;utm33;;;
42682;utm33;269019;7033594;
23734;utm33;317364;7073858;
23739;utm33;170860;6965452;
42684;utm33;31530;6752568;
22714;utm33;227418;6951690;
42802;utm33;264460;6640543;
23748;utm33;263290;7026330;
23750;utm33;261752;6998681;
42803;utm33;267079;6645167;
44462;utm33;;;
42862;utm33;327121;6730797;
25060;utm33;13721;6847057;
25061;utm33;270335;7041707;
25063;utm33;-31814;6734233;
25064;utm33;653760;7732372;
25071;utm33;111988;6475990;
25076;utm33;286762;6746383;
25084;utm33;260181;6651332;
42863;utm33;;;
42923;utm33;77385;6777301;
25107;utm33;236323;6676921;
25108;utm33;263659;6653079;
25109;utm33;262905;6649349;
42924;utm33;-11114;6886699;
25117;utm33;270225;7041570;
25122;utm33;262763;6649386;
42925;utm33;27483;6897450;
42926;utm33;14210;6847408;
25704;utm33;261502;6649292;
25707;utm33;-19949;6747381;
25708;utm33;;;
25711;utm33;175886;6616416;
25713;utm33;339132;7197502;
25714;utm33;238081;6574029;
25715;utm33;30240;6688986;
25718;utm33;227418;6951690;
25719;utm33;264343;6637893;
25720;utm33;255608;6784224;
42448;utm33;177692;6540147;
43802;utm33;262950;6649096;
25723;utm33;241687;7029354;
25724;utm33;283102;7137877;
25725;utm33;305729;6935045;
25726;utm33;-27257;6710455;
25732;utm33;258303;6650587;
25739;utm33;262170;6648990;
25743;utm33;263008;6621667;
25753;utm33;261860;6651538;
21934;utm33;189785;6874396;
21942;utm33;230313;6632178;
21956;utm33;280899;6911856;
21960;utm33;188428;6774875;
21964;utm33;170030;6744533;
21976;utm33;261187;6649893;
21978;utm33;276859;6578357;
23844;utm33;-32060;6734099;
44422;utm33;52797;6956168;
23846;utm33;-32060;6734099;
23850;utm33;232450;6754390;
35961;utm33;515944;8683286;
23854;utm33;56433;6899797;
23855;utm33;255885;6784291;
23857;utm33;255846;6784269;
23860;utm33;-32363;6665140;
23862;utm33;-16718;6672025;
25211;utm33;39544;6928006;
25216;utm33;35492;6922645;
25217;utm33;31351;6752005;
23841;utm33;265542;6747346;
23418;utm33;;;
42651;utm33;391957;7323949;
42652;utm33;236738;6677407;
42653;utm33;475723;7463394;
42654;utm33;-33299;6560389;
23452;utm33;198785;6626748;
23453;utm33;;;
23456;utm33;233203;6637280;
23459;utm33;221326;6658982;
23462;utm33;220058;6634100;
23464;utm33;176999;6729282;
23469;utm33;165356;6696778;
23471;utm33;236950;6679464;
23474;utm33;181873;6663391;
23475;utm33;247313;6635683;
23479;utm33;237581;6669722;
23480;utm33;248835;6608701;
23481;utm33;;;
23483;utm33;214236;6636903;
23486;utm33;271622;6734090;
23488;utm33;255339;6798048;
23490;utm33;181595;6791963;
34027;utm33;191779;6571267;
43263;utm33;;;
24850;utm33;294604;6607504;
24854;utm33;272302;6893943;
24855;utm33;225452;6583883;
24861;utm33;-33065;6664718;
42902;utm33;265527;6601917;
24863;utm33;76546;6813592;
43262;utm33;561461;7632420;
24865;utm33;-36997;6737064;
24866;utm33;56751;6500699;
24868;utm33;14999;6846549;
43264;utm33;;;
43265;utm33;599581;7592523;
24876;utm33;-35154;6566101;
24877;utm33;-22130;6516813;
24881;utm33;145857;6655078;
24886;utm33;-31248;6751586;
24887;utm33;29562;6692066;
24888;utm33;-35314;6730232;
24897;utm33;84739;6466139;
24898;utm33;14330;6490337;
24899;utm33;255006;6785626;
24900;utm33;262295;6746114;
24902;utm33;187265;6776351;
24905;utm33;168912;6744244;
22480;utm33;260956;6650235;
22481;utm33;259845;6650629;
22484;utm33;261424;6649614;
22485;utm33;260283;6649628;
22486;utm33;259936;6649902;
26197;utm33;-40187;6681855;
26198;utm33;-12072;6841097;
26199;utm33;-43533;6732676;
26200;utm33;-27800;6870235;
26201;utm33;426426;7554283;
26202;utm33;302908;7159259;
26204;utm33;80465;6513874;
26205;utm33;17507;6468713;
26206;utm33;516952;7460508;
38602;utm33;262418;6649715;
26210;utm33;285825;6648944;
42842;utm33;-32579;6735063;
26213;utm33;-20659;6594836;
39022;utm33;170846;6965585;
26216;utm33;1056342;7841515;
26218;utm33;44696;6957900;
26219;utm33;472987;7463086;
26220;utm33;-24439;6514059;
26221;utm33;-17502;6906457;
21988;utm33;279596;6653351;
21955;utm33;333563;6676522;
22048;utm33;198992;6618625;
22103;utm33;263201;6649555;
22081;utm33;238102;6582188;
22090;utm33;260930;6650206;
22154;utm33;653605;7732065;
22192;utm33;138582;6610592;
22167;utm33;732269;7751369;
22197;utm33;253515;6788210;
22202;utm33;46590;6957467;
22203;utm33;100447;6980824;
22204;utm33;327936;7103479;
22205;utm33;331504;7153380;
22206;utm33;318325;7074676;
22209;utm33;461001;7355086;
38362;utm33;;;
22215;utm33;442477;7559945;
22217;utm33;476101;7461953;
22218;utm33;516799;7620171;
22224;utm33;265529;6746409;
22227;utm33;813949;7782796;
22228;utm33;819965;7862666;
22229;utm33;909568;7741733;
22233;utm33;281098;6911957;
22234;utm33;334738;6675324;
25472;utm33;292222;6737160;
25473;utm33;99545;6980454;
25475;utm33;472987;7463086;
25477;utm33;243550;6593982;
25479;utm33;76816;6814280;
25480;utm33;-40050;6548506;
25484;utm33;214955;6556489;
25485;utm33;481875;7568868;
25489;utm33;331564;7153545;
25490;utm33;136365;6497319;
25494;utm33;189731;6874582;
25495;utm33;280276;6911513;
25496;utm33;599655;7593828;
25498;utm33;461350;7354845;
25499;utm33;236803;6679086;
25501;utm33;40038;6717333;
25502;utm33;-50844;6626105;
25503;utm33;286555;6746125;
25504;utm33;292281;6607476;
25506;utm33;282626;6599425;
25508;utm33;727337;7780791;
25510;utm33;73224;6957717;
25513;utm33;152253;7055847;
25514;utm33;225574;7041940;
25516;utm33;76722;6814195;
25517;utm33;62755;6810249;
25521;utm33;-37953;6565303;
25522;utm33;-46723;6813643;
21588;utm33;35337;6922595;
21589;utm33;78991;6954709;
21590;utm33;39254;6928176;
21592;utm33;101696;6993603;
21593;utm33;146556;6979649;
21594;utm33;124782;6958829;
21595;utm33;87308;6991345;
21596;utm33;95044;6968347;
21597;utm33;133591;7018442;
21598;utm33;175737;7031788;
21599;utm33;128018;7012776;
21600;utm33;128411;6994963;
21601;utm33;163059;7016376;
21602;utm33;-29961;6841938;
21603;utm33;-11043;6886693;
21604;utm33;27680;6896571;
21605;utm33;-12011;6841135;
21606;utm33;-30499;6785877;
21607;utm33;-27221;6710055;
21608;utm33;-20423;6747581;
21611;utm33;-32183;6665120;
21612;utm33;-36393;6646851;
21615;utm33;32031;6752087;
21621;utm33;-30115;6742568;
21625;utm33;76943;6777531;
25218;utm33;-52439;6751188;
25219;utm33;181396;6792108;
25220;utm33;266239;7101354;
25225;utm33;315915;7110925;
25226;utm33;-31711;6733284;
25231;utm33;819802;7862764;
25232;utm33;238798;6578598;
25234;utm33;94933;6968268;
25236;utm33;175734;6787564;
25237;utm33;260514;6740268;
25238;utm33;442327;7560047;
25240;utm33;382437;7288868;
25241;utm33;46726;6801905;
25243;utm33;;;
25245;utm33;104358;6624233;
25250;utm33;145274;6528574;
25253;utm33;326683;7078797;
25254;utm33;8267;6921252;
25255;utm33;1097732;7886965;
25257;utm33;417816;7303376;
25275;utm33;-74442;6617850;
25276;utm33;261682;6649874;
25277;utm33;270850;7042403;
25278;utm33;1056260;7841826;
25280;utm33;-1620;6752263;
25281;utm33;74253;6587578;
25282;utm33;154166;6793807;
25283;utm33;;;
38762;utm33;54751;6955792;
25285;utm33;147583;6514381;
25286;utm33;330649;6994990;
25288;utm33;557269;7554396;
25289;utm33;-28564;6690142;
25290;utm33;-40826;6625960;
25292;utm33;238476;6579279;
25294;utm33;287625;6673606;
25296;utm33;27051;6946092;
25297;utm33;57568;6741917;
21699;utm33;88050;6480296;
21700;utm33;54693;6456497;
21701;utm33;11876;6492023;
21702;utm33;17772;6468337;
21705;utm33;141490;6655253;
21706;utm33;29726;6492099;
21707;utm33;46785;6463938;
21708;utm33;33458;6471507;
21709;utm33;62261;6471717;
21711;utm33;59771;6522388;
21712;utm33;196556;6645207;
21715;utm33;214446;6636549;
21718;utm33;235028;6603516;
21720;utm33;229531;6615160;
21721;utm33;241030;6617175;
22488;utm33;259941;6649512;
22490;utm33;259654;6649826;
22491;utm33;259490;6650494;
22492;utm33;259660;6650182;
22493;utm33;259517;6650217;
22495;utm33;259740;6649627;
22496;utm33;260709;6649618;
22498;utm33;;;
22510;utm33;259889;6649838;
22511;utm33;259674;6649859;
22512;utm33;259228;6650281;
22513;utm33;261121;6650141;
22514;utm33;261446;6650075;
22515;utm33;260824;6649992;
22516;utm33;261419;6650114;
22517;utm33;261034;6650194;
22518;utm33;259921;6652679;
22519;utm33;262392;6649325;
22527;utm33;285509;6665492;
22529;utm33;253394;6654573;
22530;utm33;245922;6590734;
22531;utm33;-27621;6745813;
24046;utm33;261325;6649545;
24051;utm33;236776;6679486;
24060;utm33;1056228;7841817;
24061;utm33;261592;6649248;
24078;utm33;262111;6649360;
24079;utm33;-30258;6573282;
24080;utm33;-31330;6731842;
37742;utm33;268187;6571349;
24082;utm33;265438;6747603;
24084;utm33;328998;7102636;
24086;utm33;241687;7029354;
24093;utm33;478669;7566735;
24095;utm33;896897;7911638;
24099;utm33;191364;6773085;
24107;utm33;175407;6616214;
24111;utm33;227418;6951690;
24119;utm33;181595;6791963;
24121;utm33;148098;6738872;
24124;utm33;304521;6783007;
24125;utm33;108826;6810983;
22873;utm33;238461;6578676;
25453;utm33;44123;6957977;
25454;utm33;35793;6922632;
25455;utm33;255620;6784409;
25457;utm33;995194;7842095;
25458;utm33;175407;6616214;
25459;utm33;265672;6747854;
25461;utm33;188428;6774875;
25462;utm33;1056308;7841891;
25463;utm33;516846;7620394;
25465;utm33;333952;6675882;
21512;utm33;425472;7269523;
21513;utm33;;;
21515;utm33;360564;7287054;
21516;utm33;474216;7463310;
21519;utm33;517205;7460381;
21520;utm33;457932;7435701;
21522;utm33;424352;7400307;
21524;utm33;500609;7517901;
21528;utm33;575353;7582248;
21529;utm33;582032;7602580;
21530;utm33;315830;7110873;
21532;utm33;301152;7167362;
21533;utm33;371056;7151445;
21535;utm33;244457;7081274;
21537;utm33;196076;7082459;
21538;utm33;203787;7031760;
21539;utm33;201275;7066543;
21540;utm33;311706;6973446;
21542;utm33;232854;7001717;
21543;utm33;263330;7026176;
21544;utm33;262024;6998374;
21547;utm33;245835;6976356;
21549;utm33;314383;6943454;
33332;utm33;;;
33333;utm33;;;
33334;utm33;;;
33335;utm33;;;
33336;utm33;;;
33337;utm33;;;
33338;utm33;;;
43902;utm33;;;
33339;utm33;;;
33340;utm33;;;
33341;utm33;;;
33342;utm33;;;
33343;utm33;;;
33344;utm33;;;
43962;utm33;7628;6510645;
33346;utm33;;;
27145;utm33;262310;6649549;
21626;utm33;46072;6815436;
27030;utm33;370576;7263461;
42882;utm33;307783;6643375;
37851;utm33;136697;6496620;
30760;utm33;371056;7151445;
27612;utm33;544098;7689792;
21618;utm33;-35356;6729743;
24992;utm33;-32614;6735128;
25203;utm33;;;
25974;utm33;270112;7041663;
26540;utm33;909051;7742134;
27822;utm33;262211;6649622;
20752;utm33;333763;6676008;
21447;utm33;256189;6783749;
21510;utm33;392802;7324459;
21746;utm33;198661;6627068;
21957;utm33;255376;6785279;
39182;utm33;148098;6738872;
25883;utm33;;;
25885;utm33;833272;7846196;
25886;utm33;12520;6725446;
25887;utm33;29856;6492024;
25888;utm33;-524;6683734;
25889;utm33;131000;6602872;
25890;utm33;-48971;6586824;
25891;utm33;547395;7629395;
25892;utm33;266148;6648792;
25894;utm33;88300;6466497;
25895;utm33;88166;6466404;
25896;utm33;88300;6466497;
25897;utm33;133614;7018593;
25898;utm33;769264;7774743;
25899;utm33;;;
25900;utm33;715017;7731463;
26317;utm33;-31900;6733995;
26318;utm33;286762;6746383;
26320;utm33;653434;7731814;
21723;utm33;238349;6579034;
35401;utm33;314405;6943473;
21726;utm33;231141;6574880;
21727;utm33;236369;6561463;
21730;utm33;214881;6556468;
22751;utm33;125072;6958437;
22752;utm33;207669;7005145;
22753;utm33;10841;6932919;
22754;utm33;;;
22757;utm33;65586;6990099;
22758;utm33;71980;6957815;
22760;utm33;;;
22761;utm33;83193;6934534;
22762;utm33;-31617;6733967;
22763;utm33;;;
22764;utm33;64656;6729742;
22767;utm33;-58317;6782007;
22768;utm33;-39761;6682150;
22770;utm33;-11176;6714037;
22771;utm33;46314;6738427;
