tailid;parentid;orgstructid;name_nb;name_nn;name_en;orgid;kommunenummer
31025;42202;281;"Stokke forliksråd";"Stokke forliksråd";"Stokke Conciliation Board";;
31026;42202;281;"Stord forliksråd";"Stord forliksråd";"Stord Conciliation Board";;
31029;42202;281;"Stor-Elvdal forliksråd";"Stor-Elvdal forliksråd";"Stor-Elvdal Conciliation Board";;
31030;42202;281;"Storfjord forliksråd";"Storfjord forliksråd";"Storfjord Conciliation Board";;
31031;42202;281;"Strand forliksråd";"Strand forliksråd";"Strand Conciliation Board";;
31032;42202;281;"Stranda forliksråd";"Stranda forliksråd";"Stranda Conciliation Board";;
31033;42202;281;"Stryn forliksråd";"Stryn forliksråd";"Stryn Conciliation Board";;
31034;42202;281;"Sula forliksråd";"Sula forliksråd";"Sula Conciliation Board";;
31035;42202;281;"Suldal forliksråd";"Suldal forliksråd";"Suldal Conciliation Board";;
31038;42202;281;"Surnadal forliksråd";"Surnadal forliksråd";"Surnadal Conciliation Board";;
31039;42202;281;"Sveio forliksråd";"Sveio forliksråd";"Sveio Conciliation Board";;
31040;42202;281;"Svelvik forliksråd";"Svelvik forliksråd";"Svelvik Conciliation Board";;
31041;42202;281;"Sykkylven forliksråd";"Sykkylven forliksråd";"Sykkylven Conciliation Board";;
31043;42202;281;"Sømna forliksråd";"Sømna forliksråd";"Sømna Conciliation Board";;
39562;33761;37;"Leknes servicekontor (trafikkstasjon)";"Leknes servicekontor (trafikkstasjon)";"Leknes Traffic Services Office";;
40663;25117;36;"Arbeidstilsynet Indre Østland";"Arbeidstilsynet Indre Østland";"Labour Inspection Authority Indre Østland";974771659;
41022;25775;39;"Politiets ATK-senter";"Politiets ATK-senter";"Politiets ATK-senter";;
43606;34846;82;"Familiekontoret i Vest-Agder (KF) - kontor Farsund";" ";"Vest Agder Family Counselling Services (KF) - Farsund";;
42282;41202;39;"Universitetssykehuset Nord-Norge Tromsø";"Universitetssykehuset Nord-Norge Tromsø";"University Hospital of North Norway Trust";;
40142;24992;37;"Tollregion Vest-Norge - Måløy ekspedisjons- og kontrollenhet";"Tollregion Vest-Norge - Måløy ekspedisjons- og kontrollenhet";"Customs Region Western Norway  - Måløy service unit";;
40143;24992;37;"Tollregion Vest-Norge - Stavanger tollsted";"Tollregion Vest-Norge - Stavanger tollsted";"Customs Region Western Norway  - Stavanger local office";;
40144;24992;37;"Tollregion Vest-Norge - Ålesund tollsted";"Tollregion Vest-Norge - Ålesund tollsted";"Customs Region Western Norway  - Ålesund local office";;
39222;;77;"Kambodsjas ambassade";"Kambodsjas ambassade";"Royal Embassy of Cambodia";;
39223;;77;"Madagaskars ambassade";"Madagaskars ambassade";"Embassy of the Republic of Madagascar";;
39224;;77;"Moldovas ambassade";"Moldovas ambassade";"Embassy of the Republic of Moldova";;
43882;40182;37;"Skatt nord Storslett";"Skatt nord Storslett";"Storslett Tax Office";;
43122;34847;39;"Homansbyen familievernkontor";"Homansbyen familievernkontor";"Homansbyen Family Counselling Services";;
40523;26438;37;"Justervesenet, distriktskontor vest";"Justervesenet, distriktskontor vest";"Norwegian Metrology Service, Bergen ";;
40522;26438;37;"Justervesenet, distriktskontor sør";"Justervesenet, distriktskontor sør";"Norwegian Metrology Service, Stavanger";;
40526;26438;37;"Justervesenet, distriktskontor Midt-Norge";"Justervesenet, distriktskontor Midt-Noreg";"Norwegian Metrology Service, Trondheim";;
40527;26438;37;"Justervesenet, distriktskontor nord";"Justervesenet, distriktskontor nord";"Norwegian Metrology Service, Tromsø";;
41482;27568;73;"Veiledningstorget i Bærum kommune";"Veiledningstorget i Bærum kommune";"Bærum Municipal Service Centre";;
41582;26001;73;"Servicetorget, Hol kommune";"Servicetorget, Hol kommune";"Hol One-Stop Public Service Centre";;
24061;40742;39;"Fylkesnemnda for barnevern og sosiale saker i Oslo og Akershus";"Fylkesnemnda for barnevern og sosiale saker i Oslo og Akershus";"Oslo & Akershus County Social Welfare Board";;
24036;40742;36;"Fylkesnemnda for barnevern og  sosiale saker i Buskerud og Vestfold";"Fylkesnemnda for barnevern og  sosiale saker i Buskerud og Vestfold";"Buskerud & Vestfold County Social Welfare Board";;
24040;40742;39;"Fylkesnemnda for barnevern og sosiale saker i  Agder";"Fylkesnemnda for barnevern og sosiale saker i  Agder";"Agder County Social Welfare Board";;
39683;38542;38;"Kriminalomsorgen Senter for narkotikaprogram med domstolskontroll i Oslo";"Kriminalomsorgen Senter for narkotikaprogram med domstolskontroll i Oslo";"Correctional Services Centre - Narcotics Court Inspection Programme, Oslo";;
39682;38542;38;"Kriminalomsorgen Senter for narkotikaprogram med domstolskontroll i Bergen";"Kriminalomsorgen Senter for narkotikaprogram med domstolskontroll i Bergen";"Correctional Services Centre - Narcotics Court Inspection Programme, Bergen";;
40146;24998;37;"Tollregion Øst-Norge - Kongsvinger tollkontor";"Tollregion Øst-Norge - Kongsvinger tollkontor";"Customs Region Eastern Norway - Kongsvinger local office";;
40147;24998;37;"Tollregion Øst-Norge - Svinesund tollkontor";"Tollregion Øst-Norge - Svinesund tollkontor";"Customs Region Eastern Norway - Svinesund office";;
40148;24998;37;"Tollregion Øst-Norge - Ørje tollsted";"Tollregion Øst-Norge - Ørje tollsted";"Customs Region Eastern Norway - Ørje local office";;
40149;24998;37;"Tollregion Øst-Norge - Østby tollkontor";"Tollregion Øst-Norge - Østby tollkontor";"Customs Region Eastern Norway - Østby local office";;
40150;24998;37;"Tollregion Øst-Norge - Åsnes tollkontor";"Tollregion Øst-Norge - Åsnes tollkontor";"Customs Region Eastern - Åsnes Local office";;
23332;25996;73;"Hjartdal folkebibliotek";"Hjartdal folkebibliotek";"Hjartdal Public Library";;
42710;32236;39;"BUP Lian ";"BUP Lian ";"Mental health clinic for children and adolescents Lian";;
40244;40183;37;"Skatt Midt-Norge Midtre Gauldal";"Skatt Midt-Norge Midtre Gauldal";"Midtre Gauldal Tax Office";;
31004;42202;281;"Skiptvet forliksråd";"Skiptvet forliksråd";"Skiptvet Conciliation Board";;
43042;32271;39;"BUP Østensjø (Bogerud)";"BUP Østensjø (Bogerud)";"Mental health clinic for children and adolescents Østensjø";;
23130;;81;"Kirkens Nødhjelp";"Kirkens Nødhjelp";"Kirkens Nødhjelp";951434353;
23159;;81;"Lions Clubs International";"Lions Clubs International";"Lions Clubs International";971437391;
