Fet,Farmer,582
Fet,Fisher,1
Finnøy,Fisher,225
Finnøy,Maid,59
Finnøy,Farmer,644
Finnøy,Housewife,1
Fitjar,Fisher,341
Fitjar,Maid,119
Fitjar,Farmer,726
Fitjar,Housewife,31
Fjaler,Housewife,61
Fjaler,Farmer,855
Fjaler,Fisher,53
Fjaler,Maid,82
Fjell,Housewife,44
Fjell,Maid,143
Fjell,Fisher,838
Fjell,Farmer,612
Flakstad,Fisher,852
Flakstad,Housewife,15
Flakstad,Maid,115
Flakstad,Farmer,175
Flatanger,Fisher,372
Flatanger,Housewife,1
Flatanger,Maid,57
Flatanger,Farmer,159
Flekkefjord,Housewife,110
Flekkefjord,Farmer,1268
Flekkefjord,Maid,182
Flekkefjord,Fisher,270
Flesberg,Farmer,650
Flesberg,Housewife,20
Flesberg,Maid,62
Flora,Maid,41
Flora,Farmer,35
Flora,Housewife,32
Flora,Fisher,30
Flå,Farmer,378
Flå,Maid,98
Flå,Housewife,79
Forsand,Farmer,540
Forsand,Maid,23
Forsand,Fisher,144
Forsand,Housewife,3
Fosnes,Fisher,389
Fosnes,Housewife,11
Fosnes,Maid,107
Fosnes,Farmer,460
Fredrikstad,Maid,711
Fredrikstad,Housewife,2923
Fredrikstad,Fisher,416
Fredrikstad,Farmer,1005
Frogn,Farmer,200
Frogn,Housewife,216
Frogn,Fisher,80
Frogn,Maid,43
Froland,Housewife,6
Froland,Maid,76
Froland,Farmer,321
Frosta,Housewife,24
Frosta,Farmer,379
Frosta,Fisher,183
Frosta,Maid,92
Fræna,Fisher,958
Fræna,Maid,247
Fræna,Housewife,31
Fræna,Farmer,919
Frøya,Farmer,393
Frøya,Fisher,1921
Frøya,Maid,115
Frøya,Housewife,2
Fusa,Farmer,847
Fusa,Maid,140
Fusa,Housewife,72
Fusa,Fisher,69
Fyresdal,Maid,56
Fyresdal,Fisher,1
Fyresdal,Housewife,5
Fyresdal,Farmer,426
Færder,Farmer,674
Færder,Maid,276
Færder,Fisher,276
Færder,Housewife,345
Førde,Farmer,607
Førde,Housewife,93
Førde,Fisher,8
Førde,Maid,117
Gaular,Maid,112
Gaular,Housewife,29
Gaular,Farmer,800
Gaular,Fisher,3
Gausdal,Maid,81
Gausdal,Housewife,38
Gausdal,Farmer,1042
Gildeskål,Maid,105
Gildeskål,Farmer,387
Gildeskål,Fisher,1093
Gildeskål,Housewife,9
Giske,Housewife,2
Giske,Farmer,411
Giske,Fisher,731
Giske,Maid,71
Gjemnes,Fisher,89
Gjemnes,Housewife,5
Gjemnes,Maid,85
Gjemnes,Farmer,698
Gjerdrum,Housewife,10
Gjerdrum,Maid,45
Gjerdrum,Farmer,391
Gjerstad,Housewife,26
