Skedsmo,8187	
Ski,3658	
Skien,24753	
Skiptvet,2461	
Skjåk,2314	
Skjervøy,3135	
Skodje,1573	
Smøla,3611	
Snåsa - Snåasen Tjielte,2535	
Sogndal,3704	
Sokndal,2926	
Solund,1949	
Songdalen,846	
Sortland,3919	
Spydeberg,2427	
Stange,12368	
Stavanger,41395	
Steigen,5169	
Steinkjer,17009	
Stjørdal,9237	
Stor-Elvdal,4240	
Stord,3150	
Stordal,955	
Strand,2388	
Stranda,3253	
Stryn,5722	
Suldal,5411	
Sund,2471	
Sunndal,2590	
Surnadal,5924	
Sveio,4149	
Svelvik,2566	
Sykkylven,2521	
Tønsberg,16732	
Tana - Deanu Gielda,4332	
Time,3133	
Tingvoll,4014	
Tinn,4898	
Tjeldsund,1419	
Tokke,1489	
Tolga,3816	
Torsken,1707	
Træna,646	
Trøgstad,3614	
Tranøy,1862	
Tromsø,17468	
Trondheim,58474	
Trysil,6834	
Tvedestrand,8883	
Tydal,841	
Tynset,5163	
Tysnes,4951	
Tysvær,3235	
Ullensaker,6086	
Ulstein,3848	
Ulvik,1650	
Vågå,3021	
Vågan,7725	
Vågsøy,6211	
Våler (Østfold),6266	
Værøy,1550	
Vadsø,3472	
Vaksdal,3118	
Valle,1730	
Vang,8478	
Vanylven,2997	
Vardø,4449	
Vefsn,6895	
Vegårshei,1850	
Vega,2624	
Vennesla,4249	
Verdal,6215	
Verran,1823	
Vestby,3696	
Vestnes,3969	
Vestre Slidre,2515	
Vestre Toten,5321	
Vestvågøy,17498	
Vik,6216	
Vikna,3622	
Vindafjord,5374	
Vinje,2786	
Volda,5347	
Voss,13506	
Åfjord,1403	
Ål,3498	
Ålesund,21987	
Åmli,3231	
Åmot,3842	
Årdal,2454	
Ås,3222	
Åseral,1263	
Åsnes,5451	
Øksnes,3761	
Ørland,3465	
Ørskog,1867	
Ørsta,5691	
Østre Toten,10932	
Øvre Eiker,8531	
Øyer,3077	
Øygarden,994	
Øystre Slidre,2443	
