OldMunicipality,NewMunicipality,Coords
Geitastrand,Orkdal,"(241687, 7029354)"
Gildeskål,Gildeskål,"(457612, 7435580)"
Gimsøy,Vågan,"(481897, 7568820)"
Giske,Giske,"(44350, 6961325)"
Gjemnes,Gjemnes,"(128330, 6994939)"
Gjerdrum,Gjerdrum,"(279462, 6666002)"
Gjerpen,Skien,"(192396, 6575530)"
Gjerstad,Gjerstad,"(155445, 6542237)"
Gjesdal,Gjesdal,"(-27935, 6550003)"
Gjøvdal,Åmli,"(123544, 6532393)"
Gjøvik,Gjøvik,"(265643, 6747621)"
Glemmen,Fredrikstad,"(268259, 6570534)"
Gloppen,Gloppen,"(37559, 6880701)"
Gol,Gol,"(170027, 6744540)"
Gran,Gran,"(255438, 6703418)"
Gransherad,Notodden,"(175886, 6616416)"
Granvin,Voss,"(31351, 6752005)"
Gravvik,Nærøy,"(339132, 7197502)"
Grimstad,Grimstad,"(125525, 6485086)"
Grindheim,Audnedal,"(52281, 6485772)"
Grip,Kristiansund,"(133614, 7018593)"
Grong,Grong,"(370713, 7151446)"
Grue,Grue,"(338014, 6705297)"
Grytten,Rauma,"(124670, 6958788)"
Gulen,Gulen,"(-35713, 6801489)"
Gyland,Flekkefjord,"(12084, 6492155)"
Hadsel,Hadsel,"(496266, 7605666)"
Hafslo,Luster,"(89400, 6831987)"
Halsa,Halsa,"(163040, 7016385)"
Halse og Harkmark,Mandal,"(54631, 6456590)"
Haltdalen,Holtålen,"(311257, 6973573)"
Hamar,Hamar,"(286619, 6746272)"
Hamarøy,Hamarøy,"(525645, 7552330)"
Hammerfest,Hammerfest,"(819935, 7862679)"
Hamre,Lindås,"(-31514, 6751938)"
Haram,Haram,"(61668, 6970043)"
Harstad,Harstad,"(562119, 7632709)"
Hasvik,Hasvik,"(770258, 7848123)"
Hattfjelldal,Hattfjelldal,"(453417, 7275439)"
Haugesund,Haugesund,"(-50742, 6626242)"
Haus,Osterøy,"(-19949, 6747381)"
Heddal,Bø (Telemark),"(163467, 6601042)"
Hedrum,Larvik,"(214894, 6556496)"
Hegra,Stjørdal,"(296660, 7044273)"
Heidal,Sel,"(211829, 6860993)"
Helgøy,Karlsøy,"(676456, 7768303)"
Helleland,Eigersund,"(-24092, 6514253)"
Hemne,Hemne,"(203891, 7031678)"
Hemnes,Hemnes,"(446739, 7328926)"
Hemsedal,Hemsedal,"(150855, 6764438)"
Hen,Rauma,"(124670, 6958788)"
Herad,Farsund,"(17507, 6468713)"
Herdla,Askøy,"(-37080, 6736944)"
Herefoss,Birkenes,"(104164, 6485926)"
Herøy,Sande (Møre og Romsdal),"(10594, 6933069)"
Heskestad,Eigersund,"(-24092, 6514253)"
