OldMunicipality,NewMunicipality,Coords
Vikebygd,Sveio,"(-44172, 6640148)"
Vikedal,Vindafjord,"(-17706, 6643404)"
Vikna,Vikna,"(321952, 7198546)"
Vinger,Kongsvinger,"(333565, 6676514)"
Vinje,Vinje,"(104358, 6624233)"
Volda,Volda,"(35492, 6922645)"
Voll,Rauma,"(124670, 6958788)"
Voss,Voss,"(31351, 6752005)"
Vossestrand,Voss,"(31351, 6752005)"
Vågan,Vågan,"(481897, 7568820)"
Vågå,Vågå,"(189792, 6874444)"
Våle,Re,"(231017, 6590927)"
Våler,Våler (Østfold),"(265930, 6601736)"
Værøy,Værøy,"(402202, 7507206)"
Ytre Holmedal,Fjaler,"(-12072, 6841097)"
Ytre Rendal,Rendalen,"(293874, 6868167)"
Ytre Sandsvær,Kongsberg,"(198605, 6626282)"
Ytterøy,Levanger,"(317450, 7073995)"
Ådal,Ringerike,"(236852, 6678708)"
Åkra,Karmøy,"(-51177, 6611558)"
Ål,Ål,"(148098, 6738872)"
Ålen,Holtålen,"(311257, 6973573)"
Ålesund,Ålesund,"(44904, 6957920)"
Ålvundeid,Sunndal,"(170674, 6965797)"
Åmli,Åmli,"(123544, 6532393)"
Åmot,Åmot,"(304705, 6782891)"
Årdal,Årdal,"(108836, 6810996)"
Årstad,Bergen,"(-31781, 6734243)"
Ås,Ås,"(262960, 6621468)"
Åsane,Bergen,"(-31781, 6734243)"
Åsen,Levanger,"(317450, 7073995)"
Åseral,Åseral,"(59773, 6522399)"
Åsgårdstrand,Horten,"(243854, 6595010)"
Åsnes,Åsnes,"(336469, 6723444)"
Åsskard,Surnadal,"(182280, 6998344)"
Øksendal,Sunndal,"(170674, 6965797)"
Øksnes,Øksnes,"(503488, 7644846)"
Øre,Gjemnes,"(128330, 6994939)"
Ørland,Ørland,"(236418, 7073009)"
Ørskog,Ørskog,"(78870, 6954637)"
Ørsta,Ørsta,"(39544, 6928006)"
Østre Gausdal,Gausdal,"(243546, 6797435)"
Østre Toten,Østre Toten,"(271563, 6734085)"
Øvre Eiker,Øvre Eiker,"(214236, 6636903)"
Øvre Rendal,Rendalen,"(293874, 6868167)"
Øvre Sandsvær,Kongsberg,"(198605, 6626282)"
Øvre Sirdal,Sirdal,"(20214, 6532464)"
Øvrebø,Vennesla,"(88186, 6480151)"
Øyer,Øyer,"(254139, 6800897)"
Øyestad,Arendal,"(136520, 6496840)"
Øymark,Marker,"(310784, 6598203)"
Øyslebø,Marnardal,"(61369, 6475127)"
Øystre Slidre,Øystre Slidre,"(181396, 6792108)"
